store_id,sale_date,gross_sales,net_sales,digital_sales,in_store_sales,transaction_count
S001,2023-01-01,13825.72,12849.42,2519.27,10330.15,862
S002,2023-01-01,12917.06,11962.34,2440.54,9521.8,937
S003,2023-01-01,9977.12,9340.92,1845.19,7495.73,614
S004,2023-01-01,18135.07,16797.02,3216.22,13580.8,1355
S005,2023-01-01,15808.08,14497.45,3343.71,11153.74,1048
S006,2023-01-01,18116.11,16486.83,3776.18,12710.65,1041
S007,2023-01-01,13782.9,12660.39,3287.39,9373.0,849
S008,2023-01-01,10888.53,9970.59,2111.47,7859.12,807
S009,2023-01-01,14623.39,13334.03,2951.63,10382.4,1081
S010,2023-01-01,19690.33,17951.8,4322.48,13629.31,1166
S011,2023-01-01,10526.46,9600.54,2651.49,6949.04,711
S012,2023-01-01,13364.14,12177.3,2413.52,9763.78,830
S013,2023-01-01,16099.9,14803.71,3198.74,11604.98,1006
S014,2023-01-01,17920.03,16654.25,3925.78,12728.47,1063
S015,2023-01-01,19739.97,17968.88,4530.24,13438.64,1265
S016,2023-01-01,15628.23,14283.79,3212.44,11071.35,1167
S017,2023-01-01,16772.63,15406.49,3602.32,11804.17,1082
S018,2023-01-01,17552.43,16251.24,4173.1,12078.14,1156
S019,2023-01-01,15794.76,14422.32,4006.7,10415.61,1110
S020,2023-01-01,15694.13,14414.32,3042.33,11371.99,1072
S021,2023-01-01,14405.02,13477.15,3241.81,10235.35,1037
S022,2023-01-01,19559.71,18285.99,3554.95,14731.03,1370
S023,2023-01-01,12654.47,11887.53,2450.71,9436.82,861
S024,2023-01-01,10620.73,9965.98,2582.2,7383.77,785
S025,2023-01-01,9768.71,8997.73,2206.72,6791.01,660
S026,2023-01-01,10739.86,10086.51,1956.68,8129.83,752
S027,2023-01-01,15916.65,14802.61,3336.03,11466.58,1049
S028,2023-01-01,14869.93,13944.62,2979.6,10965.02,1092
S029,2023-01-01,11487.5,10514.64,2431.3,8083.35,834
S030,2023-01-01,14318.56,13317.66,3509.28,9808.38,1021
S031,2023-01-01,9416.57,8767.19,2001.15,6766.04,718
S032,2023-01-01,12748.98,11735.31,3192.63,8542.68,758
S033,2023-01-01,9807.7,9119.21,2096.02,7023.19,703
S034,2023-01-01,13397.84,12396.79,3197.77,9199.01,809
S035,2023-01-01,13486.2,12283.61,3411.21,8872.4,929
S036,2023-01-01,10708.08,9936.0,2231.31,7704.68,649
S037,2023-01-01,13476.75,12661.77,2552.16,10109.6,812
S038,2023-01-01,13874.88,12842.56,3475.85,9366.71,872
S039,2023-01-01,18773.23,17498.74,3669.55,13829.19,1285
S040,2023-01-01,18536.52,17237.14,3489.88,13747.27,1101
S041,2023-01-01,15720.0,14619.71,3254.61,11365.09,985
S042,2023-01-01,13866.16,12775.92,3383.24,9392.69,1005
S043,2023-01-01,14999.02,13831.83,3781.24,10050.58,1048
S044,2023-01-01,15187.27,13967.24,3270.83,10696.41,958
S045,2023-01-01,12294.15,11480.42,3283.21,8197.21,766
S046,2023-01-01,14475.35,13441.49,2679.41,10762.08,846
S047,2023-01-01,11541.74,10610.46,2871.79,7738.67,856
S048,2023-01-01,12583.14,11740.76,2765.44,8975.32,759
S049,2023-01-01,16601.13,15464.78,3532.12,11932.66,1141
S050,2023-01-01,12585.5,11777.68,3280.63,8497.05,785
S001,2023-01-02,9182.33,8577.42,2912.82,5664.61,608
S002,2023-01-02,9028.47,8252.03,2611.47,5640.55,580
S003,2023-01-02,7141.48,6566.72,2268.97,4297.76,481
S004,2023-01-02,12411.53,11632.15,3659.38,7972.78,910
S005,2023-01-02,11326.8,10460.32,3610.67,6849.65,679
S006,2023-01-02,13395.19,12285.76,3857.57,8428.19,835
S007,2023-01-02,9012.13,8291.84,2979.28,5312.56,675
S008,2023-01-02,7329.54,6716.93,2092.24,4624.7,508
S009,2023-01-02,9949.62,9072.74,3205.3,5867.44,670
S010,2023-01-02,12913.96,12092.88,3961.25,8131.63,857
S011,2023-01-02,8402.28,7721.34,2385.89,5335.46,499
S012,2023-01-02,9641.45,9005.08,3239.86,5765.22,640
S013,2023-01-02,10908.93,10086.06,3115.44,6970.62,689
S014,2023-01-02,13981.19,13108.57,4824.9,8283.67,919
S015,2023-01-02,13887.67,12884.38,4333.02,8551.36,1035
S016,2023-01-02,10536.42,9670.38,2927.56,6742.81,704
S017,2023-01-02,12005.4,11241.72,3348.07,7893.65,702
S018,2023-01-02,11835.4,11036.17,3037.25,7998.92,702
S019,2023-01-02,10112.57,9223.25,3373.21,5850.05,762
S020,2023-01-02,12198.21,11327.75,3328.71,7999.04,816
S021,2023-01-02,9377.68,8800.32,2785.33,6014.99,671
S022,2023-01-02,14438.71,13450.39,4677.77,8772.63,1067
S023,2023-01-02,9174.54,8508.11,3087.5,5420.61,598
S024,2023-01-02,8421.71,7713.86,2539.48,5174.38,500
S025,2023-01-02,7112.44,6621.08,1987.37,4633.71,452
S026,2023-01-02,7217.07,6576.42,2125.99,4450.43,440
S027,2023-01-02,10299.71,9572.82,2596.77,6976.05,694
S028,2023-01-02,9951.19,9321.75,2945.43,6376.32,739
S029,2023-01-02,7432.75,6880.14,2305.16,4574.98,483
S030,2023-01-02,10188.18,9523.63,3135.63,6388.0,712
S031,2023-01-02,6734.49,6317.21,1881.85,4435.36,457
S032,2023-01-02,8705.52,8009.88,2558.6,5451.28,595
S033,2023-01-02,7193.3,6622.47,1959.16,4663.31,496
S034,2023-01-02,9738.6,9013.07,2605.73,6407.34,689
S035,2023-01-02,9626.96,8920.87,2623.02,6297.85,640
S036,2023-01-02,7538.42,6926.5,2150.26,4776.24,528
S037,2023-01-02,9823.42,9048.06,2943.76,6104.3,682
S038,2023-01-02,9682.03,8942.44,2688.66,6253.79,691
S039,2023-01-02,12875.08,11838.2,4075.75,7762.45,747
S040,2023-01-02,13298.76,12212.19,4017.3,8194.88,808
S041,2023-01-02,11240.92,10559.9,3730.42,6829.48,798
S042,2023-01-02,9850.23,9001.11,2471.27,6529.84,739
S043,2023-01-02,10185.73,9557.5,3190.17,6367.33,637
S044,2023-01-02,10248.6,9473.41,2880.59,6592.83,597
S045,2023-01-02,8368.35,7831.53,2203.86,5627.67,632
S046,2023-01-02,10254.32,9378.11,3292.79,6085.32,594
S047,2023-01-02,7973.55,7315.3,2383.38,4931.92,529
S048,2023-01-02,9087.82,8373.62,3021.62,5351.99,630
S049,2023-01-02,11744.84,10838.9,3542.83,7296.06,887
S050,2023-01-02,8734.82,8112.6,2405.1,5707.5,657
S001,2023-01-03,9210.46,8534.04,2437.78,6096.26,623
S002,2023-01-03,8910.06,8185.16,2441.4,5743.76,524
S003,2023-01-03,6657.82,6105.24,1809.93,4295.3,394
S004,2023-01-03,12009.63,10970.11,3208.55,7761.56,866
S005,2023-01-03,10427.43,9533.45,2630.89,6902.57,620
S006,2023-01-03,14215.71,13123.59,4158.47,8965.12,987
S007,2023-01-03,9232.3,8476.8,2746.47,5730.33,607
S008,2023-01-03,7956.97,7384.96,2013.04,5371.92,565
S009,2023-01-03,10241.26,9583.93,3150.36,6433.58,794
S010,2023-01-03,13993.06,13054.03,3753.28,9300.75,918
S011,2023-01-03,7847.88,7207.06,2664.41,4542.65,529
S012,2023-01-03,9295.62,8572.89,2589.92,5982.97,678
S013,2023-01-03,10732.08,9898.73,3163.11,6735.62,668
S014,2023-01-03,12479.43,11389.25,3362.56,8026.69,918
S015,2023-01-03,13640.48,12766.77,4500.19,8266.57,1067
S016,2023-01-03,10339.54,9569.79,3179.69,6390.1,679
S017,2023-01-03,12185.19,11107.39,3295.63,7811.77,884
S018,2023-01-03,11859.37,10802.3,3597.19,7205.11,720
S019,2023-01-03,10827.61,9954.07,2701.21,7252.86,731
S020,2023-01-03,11014.97,10336.58,3460.39,6876.19,828
S021,2023-01-03,10513.26,9659.12,3289.33,6369.79,701
S022,2023-01-03,13476.43,12322.03,3561.82,8760.21,856
S023,2023-01-03,9748.79,8911.32,2468.27,6443.06,593
S024,2023-01-03,8250.98,7574.52,2047.06,5527.46,504
S025,2023-01-03,7726.65,7165.67,2407.62,4758.05,458
S026,2023-01-03,6983.31,6514.63,2004.69,4509.94,416
S027,2023-01-03,11528.35,10830.0,3182.73,7647.28,803
S028,2023-01-03,9888.67,9139.0,3302.31,5836.69,671
S029,2023-01-03,8318.14,7767.24,2603.59,5163.65,618
S030,2023-01-03,10905.57,10032.68,2809.52,7223.17,651
S031,2023-01-03,6591.96,6178.73,1677.74,4500.99,500
S032,2023-01-03,7998.99,7466.62,2213.87,5252.75,505
S033,2023-01-03,7102.44,6480.33,1962.61,4517.72,428
S034,2023-01-03,9834.67,9211.38,2936.54,6274.84,647
S035,2023-01-03,9915.15,9092.62,3077.31,6015.32,691
S036,2023-01-03,8626.26,8046.67,2739.0,5307.67,650
S037,2023-01-03,9154.44,8412.79,2295.81,6116.98,637
S038,2023-01-03,9791.21,8981.73,2795.16,6186.57,611
S039,2023-01-03,11928.83,10917.88,3613.26,7304.62,804
S040,2023-01-03,13018.7,11937.7,3984.69,7953.01,857
S041,2023-01-03,11349.69,10634.29,3366.02,7268.27,806
S042,2023-01-03,10168.1,9554.25,2865.47,6688.78,602
S043,2023-01-03,10770.55,9948.81,2986.75,6962.06,623
S044,2023-01-03,10392.15,9568.77,2866.68,6702.09,644
S045,2023-01-03,8088.56,7562.0,2341.05,5220.95,634
S046,2023-01-03,10656.07,9988.13,3441.08,6547.05,644
S047,2023-01-03,8942.68,8345.96,2445.46,5900.49,549
S048,2023-01-03,8444.6,7876.01,2730.98,5145.02,538
S049,2023-01-03,11011.13,10052.23,3344.84,6707.39,827
S050,2023-01-03,8265.53,7554.22,2726.79,4827.43,566
S001,2023-01-04,9445.5,8652.3,3016.64,5635.67,554
