store_id,year,month,sales_target
S001,2023,1,311428.0
S001,2023,2,284184.06
S001,2023,3,329585.54
S001,2023,4,334020.81
S001,2023,5,357796.28
S001,2023,6,343793.63
S001,2023,7,366838.82
S001,2023,8,349794.39
S001,2023,9,327915.53
S001,2023,10,349342.26
S001,2023,11,382639.41
S001,2023,12,429880.67
S001,2024,1,301013.37
S001,2024,2,295240.12
S001,2024,3,336835.58
S001,2024,4,337903.19
S001,2024,5,360567.91
S001,2024,6,351636.39
S001,2024,7,369650.01
S001,2024,8,363085.37
S001,2024,9,330167.74
S001,2024,10,343077.55
S001,2024,11,397473.46
S001,2024,12,427396.95
S002,2023,1,305275.41
S002,2023,2,287588.82
S002,2023,3,325072.92
S002,2023,4,338027.7
S002,2023,5,345827.33
S002,2023,6,347151.26
S002,2023,7,367545.69
S002,2023,8,361111.45
S002,2023,9,329780.21
S002,2023,10,351328.15
S002,2023,11,381963.45
S002,2023,12,436916.94
S002,2024,1,311755.11
S002,2024,2,293412.71
S002,2024,3,337923.88
S002,2024,4,327076.83
S002,2024,5,355075.33
S002,2024,6,346258.54
S002,2024,7,361572.02
S002,2024,8,358628.99
S002,2024,9,334020.57
S002,2024,10,338705.63
S002,2024,11,395718.53
S002,2024,12,432461.15
S003,2023,1,225304.36
S003,2023,2,213124.96
S003,2023,3,245535.2
S003,2023,4,249307.46
S003,2023,5,260718.94
S003,2023,6,259467.91
S003,2023,7,268801.77
S003,2023,8,271519.36
S003,2023,9,247096.82
S003,2023,10,249040.78
S003,2023,11,285719.38
S003,2023,12,315792.63
S003,2024,1,229496.43
S003,2024,2,219398.32
S003,2024,3,250076.92
S003,2024,4,245155.52
S003,2024,5,262008.02
S003,2024,6,258186.09
S003,2024,7,276222.42
S003,2024,8,270523.59
S003,2024,9,251822.68
S003,2024,10,258966.66
S003,2024,11,290415.65
S003,2024,12,323146.4
S004,2023,1,413273.31
S004,2023,2,372249.38
S004,2023,3,441530.48
S004,2023,4,434414.27
S004,2023,5,458168.4
S004,2023,6,465030.73
S004,2023,7,490553.0
S004,2023,8,457977.94
S004,2023,9,444360.06
S004,2023,10,448374.35
S004,2023,11,500054.51
S004,2023,12,568556.41
S004,2024,1,409219.47
S004,2024,2,385187.5
S004,2024,3,445654.24
S004,2024,4,434199.63
S004,2024,5,465770.32
S004,2024,6,455950.15
S004,2024,7,485061.72
S004,2024,8,486150.59
S004,2024,9,443068.97
S004,2024,10,455826.53
S004,2024,11,497489.11
S004,2024,12,572042.02
S005,2023,1,360116.43
S005,2023,2,328866.05
S005,2023,3,377085.91
